00:00.0	12853
00:03.8	9244
00:04.0	35005
00:05.2	330394
00:08.3	121416
00:09.7	121435
00:10.6	200649
00:13.9	126931
00:15.4	166606
00:16.8	263455
00:19.8	147441
00:22.1	159873
00:28.6	243033
00:36.7	169497
00:38.2	239035
00:39.7	182882
00:40.8	209795
00:42.2	244827
00:44.4	157079
00:46.5	247533
00:48.9	149662
00:49.9	173890
00:51.0	38486
00:56.1	247594
00:57.3	199708
00:59.3	199503
01:00.0	274037
01:01.8	315608
01:04.0	181118
01:06.3	156534
01:08.8	122736
01:12.8	275428
01:14.4	204669
01:15.9	203139
01:18.6	150421
01:22.1	170249
01:23.4	193928
01:26.3	218353
01:27.8	123439
01:31.4	123784
01:32.3	118881
01:33.4	162996
01:35.4	94411
01:40.0	217247
01:43.0	141394
01:45.2	159832
01:46.3	266920
01:47.7	223049
01:49.9	141048
01:51.0	201153
01:52.0	172410
01:53.0	221951
01:54.6	196398
01:56.1	227636
01:58.7	200321
02:00.8	48768
02:06.2	318035
02:07.4	94680
02:12.2	362510
02:14.0	70838
02:15.7	59693
02:16.9	355289
02:19.5	175209
02:20.6	161735
02:21.6	275360
02:22.0	230701
02:22.7	257421
02:23.4	124520
02:24.1	159262
02:24.8	262739
02:25.9	204238
02:26.6	190713
02:27.4	214887
02:29.8	154171
02:30.9	171150
02:32.4	163762
02:33.3	251952
02:39.3	176315
02:42.2	367949
02:42.7	265083
02:43.3	233369
02:43.9	232501
02:44.6	127493
02:45.2	160959
02:45.8	244701
02:47.3	162654
02:48.2	125184
02:48.9	142437
02:50.2	217767
02:51.5	67277
02:53.2	182409
02:54.7	178898
02:55.8	183296
02:57.0	101236
02:57.9	110996
02:58.8	122205
02:59.2	70524
02:59.5	257606
03:00.1	323588
03:00.8	139615
03:01.6	251182
03:02.6	178132
03:07.7	131591
03:08.9	270148
03:11.5	147119
03:12.6	145743
03:13.8	150330
03:15.4	8452
03:20.3	420108
03:22.6	124951
03:24.1	147116
03:25.2	75492
03:31.0	181057
03:36.5	135012
03:41.6	182609
03:43.4	115106
03:43.9	138390
03:44.8	171237
03:45.2	211870
03:45.8	174948
03:46.7	126821
03:47.4	115712
03:48.8	139502
03:53.8	220132
03:55.7	192517
03:57.0	149908
04:01.5	99894
04:02.3	82333
04:09.4	34483
04:11.6	140933
04:12.5	187390
04:14.6	90365
04:15.5	168827
04:16.8	112765
04:17.4	229356
04:22.6	45640
04:27.0	123929
04:28.3	314545
04:29.4	102111
04:30.3	214909
04:31.3	180119
04:33.6	169619
04:34.4	217743
04:35.8	46277
04:38.0	222964
04:38.6	209554
04:39.8	209514
04:41.1	97239
04:42.0	249782
04:42.7	200050
04:44.6	49254
04:47.9	158959
04:48.7	177465
04:49.7	247044
04:51.1	146032
04:51.8	405026
04:52.8	152251
04:55.0	156194
04:55.4	226826
04:57.6	117247
04:58.6	220608
04:59.7	254339
05:00.9	111485
05:02.2	121144
05:12.2	185898
05:18.6	21383
05:28.6	86583
05:35.3	176228
